phase,trial_type,trial,stimulus,old_or_new,cs_duration,iti_duration,block
fear,CS+,1,,old,5,,1
extcc,CS-,2,,old,5,,1
foil,CS-,3,,new,5,,1
base,CS+,4,,old,5,,1
foil,CS+,5,,new,5,,1
extcc,CS-,6,,old,5,,1
foil,CS+,7,,new,5,,1
fear,CS-,8,,old,5,,1
base,CS+,9,,old,5,,1
foil,CS-,10,,new,5,,1
foil,CS+,11,,new,5,,1
fear,CS-,12,,old,5,,1
extcc,CS+,13,,old,5,,1
extcc,CS+,14,,old,5,,1
foil,CS-,15,,new,5,,1
base,CS-,16,,old,5,,1
fear,CS+,17,,old,5,,1
foil,CS-,18,,new,5,,1
base,CS-,19,,old,5,,1
foil,CS+,20,,new,5,,1
foil,CS-,21,,new,5,,2
fear,CS-,22,,old,5,,2
foil,CS+,23,,new,5,,2
base,CS-,24,,old,5,,2
extcc,CS+,25,,old,5,,2
foil,CS+,26,,new,5,,2
extcc,CS-,27,,old,5,,2
fear,CS+,28,,old,5,,2
foil,CS-,29,,new,5,,2
base,CS+,30,,old,5,,2
foil,CS+,31,,new,5,,2
fear,CS-,32,,old,5,,2
base,CS+,33,,old,5,,2
foil,CS-,34,,new,5,,2
extcc,CS+,35,,old,5,,2
foil,CS-,36,,new,5,,2
fear,CS+,37,,old,5,,2
base,CS-,38,,old,5,,2
foil,CS+,39,,new,5,,2
extcc,CS-,40,,old,5,,2
base,CS-,41,,old,5,,3
foil,CS+,42,,new,5,,3
fear,CS+,43,,old,5,,3
foil,CS-,44,,new,5,,3
extcc,CS-,45,,old,5,,3
fear,CS+,46,,old,5,,3
foil,CS+,47,,new,5,,3
fear,CS-,48,,old,5,,3
foil,CS-,49,,new,5,,3
base,CS+,50,,old,5,,3
foil,CS-,51,,new,5,,3
extcc,CS+,52,,old,5,,3
foil,CS+,53,,new,5,,3
extcc,CS-,54,,old,5,,3
base,CS+,55,,old,5,,3
foil,CS-,56,,new,5,,3
extcc,CS+,57,,old,5,,3
foil,CS+,58,,new,5,,3
base,CS-,59,,old,5,,3
fear,CS-,60,,old,5,,3
foil,CS+,61,,new,5,,4
extcc,CS-,62,,old,5,,4
foil,CS-,63,,new,5,,4
base,CS+,64,,old,5,,4
fear,CS-,65,,old,5,,4
fear,CS+,66,,old,5,,4
foil,CS+,67,,new,5,,4
extcc,CS-,68,,old,5,,4
foil,CS-,69,,new,5,,4
base,CS+,70,,old,5,,4
foil,CS-,71,,new,5,,4
extcc,CS+,72,,old,5,,4
fear,CS-,73,,old,5,,4
foil,CS+,74,,new,5,,4
base,CS-,75,,old,5,,4
fear,CS+,76,,old,5,,4
foil,CS-,77,,new,5,,4
extcc,CS+,78,,old,5,,4
foil,CS+,79,,new,5,,4
base,CS-,80,,old,5,,4
fear,CS-,81,,old,5,,5
foil,CS+,82,,new,5,,5
base,CS+,83,,old,5,,5
foil,CS-,84,,new,5,,5
base,CS-,85,,old,5,,5
fear,CS+,86,,old,5,,5
foil,CS+,87,,new,5,,5
extcc,CS-,88,,old,5,,5
foil,CS-,89,,new,5,,5
extcc,CS-,90,,old,5,,5
fear,CS+,91,,old,5,,5
base,CS-,92,,old,5,,5
foil,CS+,93,,new,5,,5
extcc,CS+,94,,old,5,,5
foil,CS-,95,,new,5,,5
extcc,CS+,96,,old,5,,5
fear,CS-,97,,old,5,,5
foil,CS+,98,,new,5,,5
base,CS+,99,,old,5,,5
foil,CS-,100,,new,5,,5
extcc,CS-,101,,old,5,,6
foil,CS+,102,,new,5,,6
fear,CS+,103,,old,5,,6
foil,CS-,104,,new,5,,6
base,CS-,105,,old,5,,6
extcc,CS+,106,,old,5,,6
foil,CS-,107,,new,5,,6
foil,CS+,108,,new,5,,6
fear,CS+,109,,old,5,,6
base,CS-,110,,old,5,,6
foil,CS-,111,,new,5,,6
base,CS+,112,,old,5,,6
extcc,CS+,113,,old,5,,6
fear,CS-,114,,old,5,,6
foil,CS+,115,,new,5,,6
base,CS+,116,,old,5,,6
foil,CS-,117,,new,5,,6
extcc,CS-,118,,old,5,,6
foil,CS+,119,,new,5,,6
fear,CS-,120,,old,5,,6
foil,CS+,121,,new,5,,7
base,CS-,122,,old,5,,7
fear,CS+,123,,old,5,,7
foil,CS-,124,,new,5,,7
extcc,CS-,125,,old,5,,7
foil,CS+,126,,new,5,,7
fear,CS-,127,,old,5,,7
base,CS+,128,,old,5,,7
extcc,CS-,129,,old,5,,7
foil,CS+,130,,new,5,,7
base,CS-,131,,old,5,,7
fear,CS+,132,,old,5,,7
foil,CS-,133,,new,5,,7
extcc,CS+,134,,old,5,,7
foil,CS+,135,,new,5,,7
fear,CS-,136,,old,5,,7
extcc,CS+,137,,old,5,,7
foil,CS-,138,,new,5,,7
base,CS+,139,,old,5,,7
foil,CS-,140,,new,5,,7
base,CS-,141,,old,5,,8
foil,CS+,142,,new,5,,8
fear,CS-,143,,old,5,,8
foil,CS+,144,,new,5,,8
extcc,CS-,145,,old,5,,8
base,CS+,146,,old,5,,8
foil,CS-,147,,new,5,,8
base,CS+,148,,old,5,,8
foil,CS-,149,,new,5,,8
fear,CS+,150,,old,5,,8
extcc,CS+,151,,old,5,,8
fear,CS-,152,,old,5,,8
foil,CS-,153,,new,5,,8
extcc,CS+,154,,old,5,,8
foil,CS+,155,,new,5,,8
base,CS-,156,,old,5,,8
fear,CS+,157,,old,5,,8
foil,CS+,158,,new,5,,8
extcc,CS-,159,,old,5,,8
foil,CS-,160,,new,5,,8
fear,CS+,161,,old,5,,9
base,CS-,162,,old,5,,9
extcc,CS-,163,,old,5,,9
foil,CS+,164,,new,5,,9
base,CS-,165,,old,5,,9
extcc,CS+,166,,old,5,,9
foil,CS-,167,,new,5,,9
fear,CS-,168,,old,5,,9
foil,CS+,169,,new,5,,9
extcc,CS-,170,,old,5,,9
fear,CS+,171,,old,5,,9
foil,CS-,172,,new,5,,9
base,CS+,173,,old,5,,9
foil,CS-,174,,new,5,,9
extcc,CS+,175,,old,5,,9
fear,CS-,176,,old,5,,9
foil,CS+,177,,new,5,,9
foil,CS-,178,,new,5,,9
base,CS+,179,,old,5,,9
foil,CS+,180,,new,5,,9
foil,CS-,181,,new,5,,10
extcc,CS+,182,,old,5,,10
fear,CS-,183,,old,5,,10
foil,CS-,184,,new,5,,10
base,CS+,185,,old,5,,10
extcc,CS-,186,,old,5,,10
foil,CS+,187,,new,5,,10
fear,CS-,188,,old,5,,10
foil,CS+,189,,new,5,,10
base,CS+,190,,old,5,,10
base,CS-,191,,old,5,,10
foil,CS-,192,,new,5,,10
fear,CS+,193,,old,5,,10
extcc,CS+,194,,old,5,,10
foil,CS-,195,,new,5,,10
base,CS-,196,,old,5,,10
foil,CS+,197,,new,5,,10
extcc,CS-,198,,old,5,,10
foil,CS+,199,,new,5,,10
fear,CS+,200,,old,5,,10
foil,CS-,201,,new,5,,11
fear,CS+,202,,old,5,,11
foil,CS-,203,,new,5,,11
base,CS+,204,,old,5,,11
extcc,CS-,205,,old,5,,11
foil,CS+,206,,new,5,,11
fear,CS-,207,,old,5,,11
foil,CS+,208,,new,5,,11
base,CS-,209,,old,5,,11
fear,CS+,210,,old,5,,11
foil,CS-,211,,new,5,,11
extcc,CS+,212,,old,5,,11
extcc,CS+,213,,old,5,,11
foil,CS-,214,,new,5,,11
base,CS-,215,,old,5,,11
foil,CS+,216,,new,5,,11
extcc,CS-,217,,old,5,,11
foil,CS+,218,,new,5,,11
fear,CS-,219,,old,5,,11
base,CS+,220,,old,5,,11
foil,CS-,221,,new,5,,12
extcc,CS+,222,,old,5,,12
foil,CS-,223,,new,5,,12
fear,CS+,224,,old,5,,12
foil,CS-,225,,new,5,,12
fear,CS-,226,,old,5,,12
base,CS+,227,,old,5,,12
foil,CS+,228,,new,5,,12
base,CS-,229,,old,5,,12
extcc,CS+,230,,old,5,,12
base,CS-,231,,old,5,,12
foil,CS+,232,,new,5,,12
extcc,CS-,233,,old,5,,12
fear,CS+,234,,old,5,,12
foil,CS-,235,,new,5,,12
fear,CS-,236,,old,5,,12
foil,CS+,237,,new,5,,12
extcc,CS-,238,,old,5,,12
base,CS+,239,,old,5,,12
foil,CS+,240,,new,5,,12